Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Region_Assam,Region_Bihar,Region_Chandigarh,Region_Chhattisgarh,Region_Delhi,Region_Goa,Region_Gujarat,Region_Haryana,Region_Himachal Pradesh,Region_Jammu & Kashmir,Region_Jharkhand,Region_Karnataka,Region_Kerala,Region_Madhya Pradesh,Region_Maharashtra,Region_Meghalaya,Region_Odisha,Region_Puducherry,Region_Punjab,Region_Rajasthan,Region_Sikkim,Region_Tamil Nadu,Region_Telangana,Region_Tripura,Region_Uttar Pradesh,Region_Uttarakhand,Region_West Bengal,Area_Urban
2019-05-31, Monthly,0.12079749804534792,0.5308096299410194,0.4459824442943957,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30, Monthly,0.13291634089132134,0.5258975943648115,0.4453072248480757,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-31, Monthly,0.1751368256450352,0.5073348899404041,0.4444632005401755,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31, Monthly,0.14334115194162106,0.485714218234661,0.39702903443619186,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-30, Monthly,0.11558509252019807,0.5216985997381173,0.42606347062795413,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-31, Monthly,0.1624967422465468,0.5249228761779221,0.4554355165428765,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-30, Monthly,0.16158457127964557,0.48977706022221923,0.4081701553004727,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31, Monthly,0.13239510033880636,0.5000233007769033,0.4037812288993924,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31, Monthly,0.11897315611154549,0.5108366982053416,0.4086765698852127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29, Monthly,0.1252280427417253,0.5055704820728458,0.40428764348413243,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31, Monthly,0.20054730258014075,0.4946295044168586,0.4312964213369346,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-30, Monthly,0.2670054730258014,0.4499017223308851,0.40631330182309255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-31, Monthly,0.12796455564242898,0.1357939755584363,0.49898717083051997,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30, Monthly,0.08808965337503258,0.14343932019551484,0.5128291694800811,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-31, Monthly,0.05916080271045086,0.1466101502732817,0.5097906819716409,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31, Monthly,0.060463904091738324,0.14341893884959855,0.4932478055367995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-30, Monthly,0.10854834506124578,0.14086212962015535,0.5072586090479407,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-31, Monthly,0.0906958561376075,0.15295675268651618,0.5562120189061446,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-30, Monthly,0.03609590826166274,0.1507500346231394,0.5102970965563809,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31, Monthly,0.07961949439666406,0.1425811824325307,0.49392302498311963,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31, Monthly,0.12887672660933022,0.13529498247783764,0.48446995273463883,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29, Monthly,0.10281469898358092,0.14865596067222492,0.5354490209318028,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31, Monthly,0.09525671097211362,0.14969766175883711,0.5342673869007427,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-30, Monthly,0.0,0.14181438896342247,0.44058068872383527,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31, Monthly,0.09955694553036226,0.11819149057376967,0.3752532072923701,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-30, Monthly,0.13213448006254888,0.1253425438355843,0.4275827143821742,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-31, Monthly,0.1636695334897055,0.002625672811299856,0.48953409858203917,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30, Monthly,0.12157935887412041,0.0021793169620536734,0.3782916948008104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-31, Monthly,0.1442533229085223,0.002562648091417069,0.4591492234976368,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31, Monthly,0.22387281730518635,0.0018803978447470282,0.3693450371370696,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-30, Monthly,0.16288767266093304,0.0025506423415157242,0.461681296421337,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-31, Monthly,0.20641125879593433,0.0021888297147077407,0.4147535449020932,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-30, Monthly,0.14477456346103726,0.0028286334029834492,0.49594868332207975,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31, Monthly,0.22113630440448268,0.0021048550705891067,0.4009115462525321,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31, Monthly,0.1756580661975502,0.0023699000410885296,0.4225185685347738,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29, Monthly,0.17995830075579883,0.002144852368529959,0.3799797434166105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31, Monthly,0.19781078967943708,0.0022522918025286442,0.40715732613099265,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-30, Monthly,0.26961167578837636,0.001444779378381611,0.28494260634706287,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31, Monthly,0.2965858743810269,0.0017536267478835688,0.3598919648885888,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-30, Monthly,0.27547563200416997,0.0013708860652366095,0.2682309250506415,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-31, Monthly,0.0379202501954652,0.002841142126013607,0.43602295746117486,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30, Monthly,0.07101902528016679,0.0026471913138552405,0.4196488858879136,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-31, Monthly,0.14308053166536358,0.0025808425976427685,0.44699527346387585,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31, Monthly,0.025801407349491767,0.0029343671020234385,0.44361917623227554,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-30, Monthly,0.04704195986447744,0.0024885142259060966,0.37896691424713036,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-31, Monthly,0.09395360959082616,0.0027995921718924066,0.45627954085077654,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-30, Monthly,0.30896533750325783,0.0024070325790347125,0.5192437542201217,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31, Monthly,0.04612978889757621,0.0027933596787742543,0.42825793382849436,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31, Monthly,0.07010685431326556,0.002394939355545772,0.3718771100607698,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29, Monthly,0.0,0.002673455258539209,0.3845374746792708,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-30, Monthly,0.20732342976283558,0.002891811201644584,0.5406819716407834,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31, Monthly,0.26062027625749284,0.0017301838264004443,0.34402430790006755,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-31, Monthly,0.03752931978107896,0.30408679444268927,0.6532748143146523,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-30, Monthly,0.06215793588741203,0.28756637960532316,0.6210330857528696,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-31, Monthly,0.05968204326296585,0.31222960137258304,0.6900742741390953,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-31, Monthly,0.048214751107636164,0.29430317982454945,0.6286293045239704,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-30, Monthly,0.08196507688298149,0.2893486976899472,0.6360567184334909,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-31, Monthly,0.06398227782121449,0.3013266528588151,0.6573261309925726,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-30, Monthly,0.06098514464425332,0.3157445525440611,0.6958136394328157,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-31, Monthly,0.04508730779254626,0.3024050491154354,0.6444969615124916,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31, Monthly,0.06971592389887933,0.31167766490307525,0.6877110060769751,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29, Monthly,0.08652593171748761,0.3044872922636238,0.6777515192437542,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31, Monthly,0.09890539483971852,0.2937843083711633,0.6537812288993924,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-30, Monthly,0.1563721657544957,0.1867161778835761,0.36191762322754906,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31, Monthly,0.18999218139171228,0.24212041749656324,0.5567184334908847,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-30, Monthly,0.018373729476153233,0.2885426067115991,0.5805199189736665,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-31, Monthly,0.1894709408391973,0.11371054670576766,0.536630654962863,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
